iter	Passed	Remaining
880	11431	1544
881	11443	1531
882	11458	1518
883	11471	1505
884	11484	1492
885	11495	1479
886	11509	1466
887	11521	1453
888	11534	1440
889	11547	1427
890	11561	1414
891	11574	1401
892	11589	1388
893	11604	1375
894	11621	1363
895	11634	1350
896	11646	1337
897	11660	1324
898	11672	1311
899	11684	1298
900	11697	1285
901	11710	1272
902	11723	1259
903	11737	1246
904	11750	1233
905	11763	1220
906	11777	1207
907	11790	1194
908	11803	1181
909	11816	1168
910	11830	1155
911	11842	1142
912	11855	1129
913	11869	1116
914	11882	1103
915	11895	1090
916	11908	1077
917	11922	1064
918	11935	1051
919	11948	1039
920	11962	1026
921	11975	1013
922	11989	1000
923	12002	987
924	12016	974
925	12030	961
926	12042	948
927	12055	935
928	12068	922
929	12081	909
930	12094	896
931	12107	883
932	12120	870
933	12133	857
934	12146	844
935	12161	831
936	12174	818
937	12187	805
938	12201	792
939	12214	779
940	12227	766
941	12240	753
942	12253	740
943	12266	727
944	12279	714
945	12292	701
946	12305	688
947	12319	675
948	12332	662
949	12344	649
950	12356	636
951	12369	623
952	12382	610
953	12393	597
954	12405	584
955	12417	571
956	12429	558
957	12441	545
958	12453	532
959	12464	519
960	12476	506
961	12489	493
962	12503	480
963	12515	467
964	12529	454
965	12543	441
966	12556	428
967	12569	415
968	12583	402
969	12597	389
970	12610	376
971	12628	363
972	12643	350
973	12656	337
974	12673	324
975	12690	312
976	12710	299
977	12723	286
978	12738	273
979	12751	260
980	12763	247
981	12777	234
982	12790	221
983	12804	208
984	12818	195
985	12832	182
986	12846	169
987	12859	156
988	12872	143
989	12885	130
990	12899	117
991	12912	104
992	12926	91
993	12940	78
994	12953	65
995	12966	52
996	12980	39
997	12993	26
998	13007	13
999	13021	0
